,price,neg1,neu1,pos1,compound1,neg2,neu2,pos2,compound2,neg3,neu3,pos3,compound3,neg4,neu4,pos4,compound4,neg5,neu5,pos5,compound5,neg6,neu6,pos6,compound6,neg7,neu7,pos7,compound7,neg8,neu8,pos8,compound8,neg9,neu9,pos9,compound9,neg10,neu10,pos10,compound10,neg11,neu11,pos11,compound11,neg12,neu12,pos12,compound12,neg13,neu13,pos13,compound13,neg14,neu14,pos14,compound14,neg15,neu15,pos15,compound15,neg16,neu16,pos16,compound16,neg17,neu17,pos17,compound17,neg18,neu18,pos18,compound18,neg19,neu19,pos19,compound19,neg20,neu20,pos20,compound20
0,2,0.0,0.747,0.253,0.9652,0.0,0.692,0.308,0.9806,0.0,0.777,0.223,0.9862,0.085,0.769,0.146,0.9573,0.068,0.881,0.051,-0.3834,0.03,0.765,0.205,0.9814,0.033,0.585,0.381,0.9775,0.035,0.785,0.18,0.9928,0.051,0.732,0.217,0.99,0.035,0.458,0.507,0.9833,0.021,0.722,0.257,0.9794,0.014,0.709,0.276,0.9989,0.0,0.826,0.174,0.9723,0.0,0.584,0.416,0.9899,0.03,0.735,0.234,0.9989,0.021,0.783,0.195,0.9817,0.023,0.82,0.157,0.8908,0.025,0.861,0.114,0.9166,0.035,0.754,0.211,0.9978,0.052,0.776,0.172,0.9914
1,2,0.019,0.736,0.244,0.9762,0.038,0.734,0.228,0.9965,0.028,0.695,0.277,0.9956,0.0,0.557,0.443,0.9787,0.062,0.606,0.332,0.9765,0.078,0.743,0.179,0.9337,0.0,0.802,0.198,0.995,0.0,0.836,0.164,0.923,0.0,0.674,0.326,0.9789,0.031,0.738,0.231,0.8126,0.074,0.594,0.332,0.9956,0.02,0.702,0.278,0.9648,0.0,0.687,0.313,0.9753,0.021,0.627,0.352,0.9973,0.048,0.797,0.155,0.9277,0.04,0.77,0.19,0.9796,0.021,0.711,0.268,0.9938,0.0,0.599,0.401,0.9406,0.0,0.765,0.235,0.9861,0.049,0.802,0.149,0.949
2,2,0.033,0.858,0.11,0.9504,0.035,0.755,0.21,0.9966,0.013,0.835,0.152,0.9153,0.04,0.811,0.149,0.8979,0.04,0.826,0.133,0.8348,0.01,0.756,0.233,0.9978,0.069,0.705,0.227,0.9559,0.011,0.864,0.124,0.8731,0.0,0.884,0.116,0.4404,0.026,0.81,0.164,0.9975,0.055,0.81,0.135,0.8935,0.039,0.769,0.192,0.9866,0.024,0.842,0.134,0.9451,0.015,0.791,0.195,0.9781,0.034,0.795,0.171,0.9542,0.044,0.793,0.164,0.9708,0.0,0.64,0.36,0.8402,0.006,0.771,0.222,0.9888,0.094,0.704,0.203,0.4186,0.0,0.844,0.156,0.9758
3,2,0.0,0.471,0.529,0.9583,0.017,0.699,0.283,0.992,0.0,0.667,0.333,0.9866,0.056,0.79,0.154,0.936,0.034,0.89,0.077,0.5079,0.058,0.792,0.15,0.97,0.016,0.808,0.176,0.9692,0.019,0.828,0.153,0.981,0.067,0.672,0.261,0.8951,0.063,0.821,0.116,0.9189,0.039,0.868,0.093,0.7996,0.028,0.874,0.098,0.9329,0.02,0.704,0.277,0.9898,0.08,0.777,0.143,0.8545,0.0,0.542,0.458,0.9451,0.03,0.809,0.161,0.8551,0.156,0.655,0.189,0.0926,0.094,0.855,0.051,-0.5517,0.0,0.771,0.229,0.9792,0.013,0.833,0.154,0.9831
4,2,0.0,0.644,0.356,0.9371,0.0,0.685,0.315,0.9705,0.046,0.895,0.058,0.3862,0.018,0.822,0.16,0.9836,0.046,0.801,0.153,0.964,0.074,0.741,0.186,0.9748,0.037,0.718,0.245,0.9682,0.1,0.808,0.092,0.3369,0.023,0.732,0.245,0.9841,0.03,0.698,0.272,0.996,0.0,0.828,0.172,0.775,0.0,0.83,0.17,0.9863,0.008,0.83,0.162,0.9748,0.016,0.758,0.225,0.9859,0.044,0.678,0.278,0.9484,0.02,0.785,0.194,0.9407,0.025,0.792,0.183,0.9612,0.021,0.829,0.15,0.9868,0.061,0.829,0.11,0.5499,0.0,0.668,0.332,0.9423
5,2,0.071,0.653,0.276,0.9616,0.069,0.604,0.327,0.9662,0.016,0.703,0.28,0.9926,0.028,0.861,0.111,0.9477,0.046,0.719,0.235,0.9913,0.048,0.722,0.23,0.9897,0.072,0.773,0.154,0.9468,0.046,0.82,0.133,0.9633,0.182,0.753,0.065,-0.8205,0.058,0.847,0.095,0.8572,0.073,0.72,0.207,0.9513,0.034,0.829,0.136,0.9958,0.036,0.766,0.198,0.9629,0.0,0.83,0.17,0.9905,0.019,0.761,0.22,0.9957,0.074,0.786,0.14,0.967,0.067,0.733,0.199,0.9438,0.035,0.826,0.139,0.9878,0.041,0.822,0.137,0.9684,0.061,0.792,0.147,0.9224
6,2,0.027,0.893,0.08,0.6114,0.0,0.741,0.259,0.9293,0.0,0.673,0.327,0.9872,0.064,0.899,0.037,-0.0982,0.0,0.699,0.301,0.9735,0.01,0.699,0.29,0.999,0.0,0.738,0.262,0.9848,0.024,0.715,0.261,0.9984,0.033,0.78,0.187,0.9942,0.095,0.826,0.079,-0.3125,0.029,0.87,0.101,0.9788,0.025,0.82,0.155,0.987,0.0,0.777,0.223,0.9869,0.037,0.828,0.135,0.8727,0.0,0.666,0.334,0.9909,0.0,0.717,0.283,0.9867,0.129,0.788,0.084,-0.9198,0.021,0.685,0.294,0.9688,0.02,0.689,0.29,0.9688,0.025,0.833,0.142,0.9604
7,3,0.0,0.754,0.246,0.9974,0.0,0.756,0.244,0.9971,0.016,0.791,0.193,0.9663,0.016,0.758,0.225,0.9962,0.109,0.79,0.101,-0.5256,0.042,0.681,0.277,0.9988,0.038,0.781,0.181,0.9461,0.016,0.558,0.426,0.9821,0.078,0.777,0.145,0.9556,0.012,0.73,0.259,0.9769,0.003,0.767,0.23,0.9978,0.0,0.586,0.414,0.9914,0.025,0.784,0.19,0.9988,0.017,0.796,0.187,0.9752,0.082,0.786,0.132,0.8297,0.0,0.875,0.125,0.9851,0.009,0.792,0.2,0.9886,0.049,0.725,0.226,0.982,0.039,0.757,0.203,0.9811,0.0,0.6,0.4,0.9969
8,2,0.021,0.737,0.241,0.9966,0.012,0.813,0.175,0.952,0.035,0.766,0.199,0.9965,0.0,0.727,0.273,0.992,0.0,0.885,0.115,0.8962,0.045,0.718,0.237,0.9328,0.0,0.771,0.229,0.9603,0.014,0.767,0.219,0.9979,0.066,0.699,0.235,0.9829,0.029,0.601,0.37,0.9459,0.015,0.757,0.227,0.9935,0.06,0.735,0.205,0.7572,0.027,0.622,0.352,0.9938,0.017,0.745,0.238,0.9913,0.0,0.718,0.282,0.9875,0.031,0.686,0.283,0.9906,0.026,0.817,0.157,0.9826,0.0,0.77,0.23,0.9599,0.039,0.778,0.183,0.9918,0.05,0.912,0.039,0.0129
9,2,0.111,0.684,0.205,0.9508,0.145,0.791,0.064,-0.8644,0.0,0.779,0.221,0.9515,0.067,0.719,0.213,0.9892,0.043,0.703,0.254,0.9838,0.024,0.645,0.331,0.9933,0.036,0.733,0.231,0.9809,0.01,0.882,0.108,0.9089,0.156,0.844,0.0,-0.4692,0.015,0.802,0.183,0.9845,0.018,0.77,0.212,0.9785,0.029,0.732,0.24,0.9921,0.0,0.746,0.254,0.9956,0.015,0.813,0.172,0.9666,0.112,0.8,0.088,-0.4305,0.062,0.694,0.245,0.9936,0.046,0.711,0.243,0.9885,0.014,0.858,0.128,0.9677,0.019,0.887,0.095,0.9153,0.029,0.719,0.253,0.992
10,2,0.006,0.881,0.113,0.9635,0.0,0.915,0.085,0.5249,0.009,0.874,0.117,0.9482,0.0,0.643,0.357,0.9901,0.031,0.862,0.107,0.9526,0.006,0.747,0.247,0.9962,0.029,0.768,0.203,0.9976,0.0,0.84,0.16,0.8828,0.021,0.757,0.223,0.9913,0.039,0.758,0.203,0.9693,0.0,0.82,0.18,0.9468,0.0,0.917,0.083,0.5994,0.0,0.865,0.135,0.5888,0.019,0.754,0.227,0.9964,0.016,0.873,0.111,0.9169,0.004,0.91,0.085,0.9717,0.021,0.704,0.275,0.9877,0.0,0.734,0.266,0.9829,0.014,0.789,0.197,0.9974,0.023,0.802,0.175,0.9962
11,2,0.033,0.8,0.167,0.9029,0.021,0.755,0.223,0.9884,0.017,0.763,0.219,0.9901,0.013,0.829,0.158,0.9811,0.047,0.863,0.09,0.8799,0.034,0.921,0.045,0.186,0.0,0.771,0.229,0.994,0.021,0.839,0.14,0.9776,0.035,0.859,0.106,0.6858,0.014,0.748,0.238,0.9891,0.0,0.827,0.173,0.9863,0.062,0.598,0.339,0.9557,0.041,0.804,0.155,0.9876,0.062,0.794,0.144,0.8472,0.0,0.77,0.23,0.9478,0.034,0.798,0.168,0.9961,0.036,0.814,0.15,0.9788,0.038,0.804,0.158,0.9246,0.069,0.83,0.101,0.7492,0.023,0.821,0.155,0.9948
12,2,0.036,0.836,0.128,0.8718,0.039,0.773,0.188,0.9599,0.011,0.873,0.117,0.9482,0.103,0.69,0.207,0.9824,0.036,0.747,0.217,0.7398,0.0,0.793,0.207,0.9703,0.028,0.841,0.131,0.9909,0.0,0.878,0.122,0.744,0.034,0.82,0.146,0.9792,0.041,0.64,0.32,0.9799,0.0,0.807,0.193,0.988,0.0,0.719,0.281,0.9809,0.0,0.606,0.394,0.9894,0.0,0.611,0.389,0.9725,0.045,0.704,0.251,0.9974,0.087,0.672,0.24,0.9962,0.016,0.743,0.24,0.9937,0.0,0.892,0.108,0.8467,0.047,0.799,0.153,0.949,0.053,0.888,0.058,0.1035
13,2,0.0,0.834,0.166,0.9927,0.019,0.83,0.151,0.9899,0.013,0.797,0.189,0.9807,0.011,0.762,0.227,0.9753,0.017,0.881,0.102,0.7459,0.033,0.704,0.263,0.9841,0.0,0.847,0.153,0.9907,0.013,0.81,0.177,0.9758,0.02,0.728,0.252,0.9948,0.0,0.773,0.227,0.989,0.0,0.845,0.155,0.6879,0.019,0.796,0.185,0.9623,0.0,0.771,0.229,0.9971,0.108,0.827,0.065,-0.5635,0.035,0.849,0.117,0.9399,0.0,0.684,0.316,0.9944,0.0,0.747,0.253,0.9741,0.0,0.852,0.148,0.8962,0.0,0.749,0.251,0.995,0.0,0.768,0.232,0.9705
14,2,0.028,0.938,0.035,0.4389,0.014,0.838,0.148,0.9867,0.031,0.691,0.278,0.9959,0.037,0.913,0.05,-0.1154,0.049,0.804,0.147,0.973,0.034,0.837,0.129,0.9699,0.022,0.815,0.163,0.9873,0.0,0.62,0.38,0.9779,0.024,0.78,0.196,0.9699,0.016,0.797,0.187,0.9899,0.007,0.781,0.211,0.9933,0.095,0.71,0.196,0.9826,0.049,0.724,0.227,0.89,0.011,0.686,0.304,0.9932,0.0,0.728,0.272,0.9979,0.054,0.683,0.263,0.9517,0.026,0.701,0.272,0.9994,0.0,0.858,0.142,0.9336,0.041,0.785,0.174,0.9971,0.009,0.802,0.19,0.9842
15,2,0.016,0.819,0.165,0.9958,0.075,0.79,0.136,0.9145,0.042,0.674,0.284,0.9508,0.061,0.821,0.118,0.6187,0.03,0.783,0.187,0.9785,0.07,0.806,0.123,0.9096,0.0,0.807,0.193,0.9519,0.016,0.754,0.231,0.9985,0.0,0.88,0.12,0.8354,0.049,0.732,0.219,0.9951,0.096,0.621,0.284,0.8908,0.044,0.788,0.169,0.9879,0.0,0.801,0.199,0.9365,0.0,0.968,0.032,0.2838,0.032,0.794,0.174,0.9891,0.0,0.715,0.285,0.9754,0.0,0.705,0.295,0.9947,0.027,0.872,0.101,0.8806,0.0,0.633,0.367,0.9807,0.116,0.773,0.111,-0.3264
16,2,0.031,0.717,0.251,0.9579,0.0,0.826,0.174,0.9375,0.0,0.648,0.352,0.9822,0.019,0.773,0.208,0.987,0.021,0.747,0.232,0.9611,0.025,0.819,0.157,0.987,0.072,0.778,0.15,0.7956,0.007,0.905,0.088,0.9314,0.0,0.789,0.211,0.9201,0.03,0.7,0.27,0.9859,0.244,0.756,0.0,-0.7269,0.0,0.851,0.149,0.5927,0.038,0.843,0.119,0.8181,0.0,0.357,0.643,0.8957,0.025,0.752,0.223,0.9873,0.0,0.791,0.209,0.6696,0.037,0.681,0.282,0.9852,0.0,0.588,0.412,0.98,0.056,0.834,0.11,0.7717,0.018,0.876,0.106,0.9652
17,2,0.014,0.77,0.215,0.9837,0.069,0.771,0.16,0.9507,0.0,0.77,0.23,0.9796,0.052,0.749,0.198,0.9974,0.101,0.861,0.037,-0.7264,0.069,0.627,0.303,0.9817,0.025,0.78,0.196,0.9975,0.043,0.888,0.069,0.3134,0.0,0.771,0.229,0.9709,0.076,0.82,0.104,0.5023,0.009,0.712,0.279,0.9903,0.052,0.594,0.353,0.9128,0.027,0.697,0.275,0.9891,0.057,0.771,0.172,0.9897,0.018,0.74,0.242,0.9959,0.015,0.761,0.224,0.9801,0.0,0.733,0.267,0.9847,0.04,0.8,0.16,0.9803,0.032,0.843,0.125,0.8702,0.02,0.755,0.226,0.9868
18,2,0.062,0.843,0.095,0.8111,0.0,0.793,0.207,0.883,0.009,0.765,0.225,0.9834,0.007,0.784,0.209,0.9937,0.025,0.667,0.307,0.9903,0.023,0.747,0.23,0.9954,0.009,0.746,0.245,0.9792,0.093,0.769,0.138,0.6516,0.062,0.77,0.169,0.9747,0.036,0.861,0.103,0.9041,0.025,0.741,0.234,0.9972,0.081,0.688,0.231,0.7264,0.052,0.703,0.245,0.9795,0.023,0.84,0.137,0.8858,0.108,0.817,0.075,-0.5705,0.05,0.835,0.115,0.8988,0.014,0.845,0.141,0.9947,0.023,0.696,0.281,0.9951,0.037,0.816,0.147,0.9896,0.013,0.682,0.305,0.9969
19,2,0.016,0.814,0.17,0.9967,0.028,0.729,0.244,0.9014,0.04,0.863,0.097,0.945,0.072,0.796,0.132,0.9043,0.017,0.843,0.14,0.9776,0.019,0.797,0.184,0.986,0.065,0.693,0.241,0.7835,0.033,0.776,0.191,0.9908,0.037,0.71,0.253,0.9862,0.067,0.699,0.234,0.9991,0.016,0.764,0.22,0.9371,0.0,0.804,0.196,0.982,0.013,0.703,0.284,0.9801,0.044,0.684,0.272,0.9975,0.027,0.807,0.166,0.9984,0.052,0.74,0.208,0.9916,0.041,0.755,0.204,0.9707,0.083,0.685,0.232,0.9835,0.0,0.703,0.297,0.9844,0.014,0.755,0.231,0.9943
20,2,0.021,0.702,0.276,0.9881,0.016,0.745,0.239,0.9987,0.05,0.804,0.147,0.9857,0.095,0.777,0.128,0.8409,0.025,0.816,0.159,0.9501,0.034,0.761,0.204,0.9957,0.0,0.69,0.31,0.9359,0.007,0.835,0.157,0.9901,0.017,0.804,0.179,0.995,0.019,0.854,0.126,0.836,0.019,0.8,0.181,0.9952,0.03,0.813,0.156,0.9601,0.127,0.719,0.154,0.7754,0.011,0.758,0.23,0.9952,0.015,0.895,0.09,0.8555,0.0,0.691,0.309,0.9875,0.058,0.765,0.176,0.9783,0.0,0.599,0.401,0.9196,0.009,0.72,0.272,0.9937,0.0,0.808,0.192,0.9774
21,2,0.015,0.772,0.213,0.9962,0.0,0.818,0.182,0.7831,0.006,0.733,0.262,0.9971,0.017,0.837,0.146,0.9898,0.033,0.843,0.125,0.9419,0.0,0.808,0.192,0.9623,0.063,0.81,0.127,0.9818,0.139,0.711,0.15,0.3833,0.0,0.938,0.062,0.6511,0.0,0.622,0.378,0.9351,0.022,0.743,0.235,0.9958,0.026,0.783,0.19,0.9864,0.021,0.799,0.181,0.9186,0.0,0.785,0.215,0.9843,0.033,0.913,0.053,0.3309,0.0,0.822,0.178,0.9566,0.028,0.888,0.084,0.6506,0.012,0.861,0.127,0.9545,0.013,0.731,0.257,0.9879,0.0,0.783,0.217,0.9873
22,2,0.088,0.688,0.224,0.9863,0.023,0.876,0.101,0.9256,0.0,0.705,0.295,0.9779,0.0,0.903,0.097,0.8829,0.016,0.846,0.139,0.9875,0.0,0.814,0.186,0.9682,0.022,0.691,0.286,0.9879,0.08,0.736,0.183,0.9092,0.0,0.688,0.312,0.9838,0.105,0.602,0.292,0.7351,0.0,0.619,0.381,0.9885,0.023,0.786,0.192,0.9478,0.083,0.673,0.244,0.8271,0.058,0.733,0.209,0.7783,0.0,0.815,0.185,0.9534,0.0,0.815,0.185,0.9874,0.054,0.724,0.222,0.999,0.066,0.803,0.131,0.9108,0.0,0.804,0.196,0.9609,0.008,0.669,0.323,0.9966
