,rating
0,4.5
1,4.5
2,4.5
3,4.0
4,4.0
5,4.0
6,4.0
7,4.5
8,4.5
9,4.0
10,4.5
11,4.5
12,4.0
13,4.5
14,4.5
15,4.0
16,3.5
17,4.5
18,4.5
19,4.5
20,4.0
21,4.0
22,4.5
23,4.0
24,4.5
25,4.5
26,4.5
27,4.5
28,5.0
29,4.5
30,4.0
31,4.0
32,4.0
33,4.0
34,4.5
35,4.0
36,4.5
37,4.0
38,4.5
39,5.0
40,4.0
41,4.0
43,4.0
44,4.5
45,4.5
46,4.5
47,4.0
48,4.0
49,4.5
50,4.0
51,4.0
52,4.0
53,4.5
54,4.0
55,4.5
56,4.0
57,4.0
58,4.5
59,4.0
60,4.0
61,4.0
62,4.0
63,4.0
64,4.5
65,4.5
66,4.5
67,4.0
68,4.5
69,4.0
70,4.5
71,5.0
72,4.5
73,4.0
74,4.0
75,4.0
76,4.0
77,5.0
78,4.0
79,4.5
80,4.0
81,4.5
82,4.5
83,4.0
84,4.5
85,4.0
86,4.0
87,4.0
88,4.5
89,4.0
90,4.5
91,4.5
92,4.5
93,4.0
94,4.5
95,4.0
96,4.5
97,4.0
98,4.5
99,4.0
100,4.5
101,4.0
102,4.5
103,4.0
104,4.5
105,4.0
106,4.0
107,4.0
108,4.0
109,4.0
110,4.5
111,4.5
112,4.0
114,4.5
115,4.5
116,4.5
117,4.0
118,4.0
119,4.5
120,4.0
121,4.0
122,4.5
123,4.0
124,4.0
125,4.0
126,4.5
127,4.0
128,4.5
129,4.0
130,4.0
132,4.0
133,4.0
134,5.0
135,4.0
136,4.0
137,4.0
138,4.0
139,4.0
140,4.5
141,4.0
142,4.0
143,4.0
144,4.0
145,3.5
146,4.0
147,4.5
148,4.5
150,5.0
151,4.0
152,4.0
153,4.0
154,4.0
155,4.0
156,4.0
157,4.0
158,4.0
159,4.0
160,4.0
162,4.0
163,4.5
164,4.0
166,4.0
167,4.0
168,4.5
169,4.0
170,4.0
171,4.0
172,4.0
173,4.0
175,4.0
177,4.5
178,4.0
179,4.0
180,4.0
182,4.0
183,4.5
184,4.0
185,5.0
186,4.5
187,4.0
188,4.0
190,4.0
191,4.5
192,4.5
193,4.5
194,4.0
195,4.5
196,4.0
197,4.0
198,4.0
199,4.0
200,4.0
201,4.0
202,4.0
203,4.5
205,4.0
206,4.0
207,4.0
208,4.5
209,4.0
210,4.0
211,4.5
212,4.0
214,4.5
215,4.0
216,3.5
217,5.0
218,4.0
219,4.0
220,4.0
221,4.5
222,4.0
223,4.0
224,4.5
225,4.0
226,4.5
227,4.5
228,4.0
229,4.5
230,4.5
231,4.5
232,4.0
233,4.0
234,4.5
235,4.0
236,4.5
237,4.0
238,4.0
239,4.5
240,4.0
241,3.5
242,4.0
243,3.5
244,4.0
245,4.0
246,4.0
248,4.0
249,4.0
250,4.0
251,4.0
252,4.0
253,4.5
254,4.0
255,4.0
256,4.5
257,4.0
258,4.5
259,4.0
260,4.5
261,4.5
262,4.0
263,4.0
264,4.0
265,4.5
266,4.5
267,4.5
268,4.0
269,4.0
270,4.5
271,4.5
272,4.0
275,4.0
276,4.0
277,4.0
278,4.0
281,4.0
282,4.0
283,4.0
284,4.0
285,4.5
287,4.0
288,3.5
290,4.0
291,4.5
292,4.0
293,4.0
294,4.0
295,4.0
296,4.5
297,4.0
298,4.0
299,3.5
300,4.0
301,4.0
302,4.5
303,4.0
304,5.0
305,4.0
306,4.5
307,4.0
308,4.5
309,4.0
310,4.5
311,4.5
313,4.0
314,4.5
315,4.0
316,4.0
317,4.0
318,4.5
319,4.0
320,4.5
321,4.5
322,4.0
323,4.0
324,4.5
325,4.0
326,4.0
327,4.0
328,4.0
329,4.0
330,4.0
331,4.0
332,4.0
333,4.5
334,4.0
336,3.5
337,4.0
338,4.5
339,4.0
340,4.0
341,3.5
342,4.5
343,4.5
344,4.0
345,4.0
346,4.5
348,4.0
349,4.0
350,4.0
351,4.0
352,4.5
354,3.0
355,4.0
356,4.0
357,4.5
358,4.5
359,4.0
360,4.0
361,4.5
362,4.0
363,4.0
364,4.0
365,4.0
366,4.5
367,4.0
368,4.5
369,4.5
370,4.0
371,4.5
372,4.5
373,4.0
374,4.5
375,4.0
376,4.0
377,4.0
378,4.0
380,4.0
381,4.0
382,4.0
383,4.5
385,4.0
387,4.5
388,4.0
389,4.5
391,4.5
392,4.0
393,4.0
394,4.5
395,4.0
396,4.0
397,4.0
398,4.5
399,4.5
400,4.0
401,4.5
402,4.0
404,4.5
406,4.5
407,4.5
408,4.5
409,4.0
410,4.0
411,4.5
412,4.5
413,4.0
415,4.5
416,4.0
417,4.0
418,4.5
419,4.5
420,4.0
421,4.0
422,3.5
423,4.0
424,4.0
425,4.0
426,4.5
427,4.0
428,4.0
429,4.0
430,4.0
431,4.0
432,4.5
433,4.0
434,4.5
435,4.5
436,5.0
437,4.5
438,4.0
439,4.5
440,4.0
441,4.0
443,4.0
444,4.0
445,4.5
446,4.0
447,4.0
448,4.0
449,4.0
450,4.0
451,4.0
452,4.0
453,3.5
454,4.0
455,4.5
456,4.5
457,4.0
459,4.0
460,4.0
461,4.0
462,4.0
463,4.5
464,4.5
465,4.5
466,4.5
467,4.5
468,4.0
469,4.0
470,4.0
471,4.0
472,4.5
473,4.5
474,3.5
475,4.0
476,4.0
477,3.5
478,5.0
479,4.5
480,4.0
481,4.5
482,4.5
483,4.0
484,3.5
485,3.5
486,4.0
487,4.0
488,4.0
489,4.0
490,4.0
491,4.0
493,3.5
494,4.5
495,4.0
496,4.0
497,4.0
498,4.0
499,4.0
500,4.0
501,4.0
502,4.0
503,4.0
504,4.5
506,4.0
507,4.5
508,4.0
509,4.0
510,5.0
513,4.0
514,4.0
515,4.0
516,4.5
517,4.5
518,4.0
519,3.5
520,4.0
521,4.0
524,4.0
525,4.0
526,4.0
527,4.5
528,4.5
529,4.5
530,4.0
531,4.0
532,4.5
533,4.0
534,4.5
535,4.0
536,4.0
537,4.0
538,4.5
539,3.5
540,4.5
541,4.0
542,4.5
543,4.5
544,4.0
545,4.0
546,4.5
547,4.5
548,4.5
549,4.0
551,3.5
552,4.0
553,4.0
554,4.0
555,4.0
556,4.0
557,4.0
558,4.0
559,4.0
560,4.5
561,4.0
562,4.5
564,4.5
565,4.5
567,4.0
568,4.0
569,4.0
570,4.0
571,4.0
572,4.0
573,4.0
574,4.0
575,4.5
576,4.0
577,5.0
578,4.0
579,4.0
580,4.5
581,4.0
582,4.0
583,4.0
584,4.0
585,4.5
586,4.0
587,4.5
588,4.0
589,4.0
590,4.5
591,4.0
592,4.5
593,4.5
594,4.5
595,4.5
596,4.0
597,4.5
598,4.5
600,4.0
601,3.5
602,4.0
603,4.0
604,4.0
605,4.5
606,3.5
607,4.0
608,4.0
609,4.0
610,4.0
611,4.5
612,4.0
613,4.0
614,4.0
616,3.5
617,4.0
618,4.0
619,4.5
620,4.5
621,4.0
622,4.0
624,4.0
625,3.5
626,3.5
627,4.0
628,4.5
630,4.0
631,4.5
632,4.0
633,4.0
634,4.0
635,4.0
636,4.0
638,4.5
640,4.0
641,4.0
642,4.0
643,4.0
645,4.0
646,4.0
647,4.0
648,4.5
649,4.0
650,4.0
651,4.0
652,4.0
653,4.0
654,4.0
655,4.0
656,4.5
657,4.0
658,4.5
659,4.0
660,4.0
661,4.5
662,4.0
663,4.0
664,4.5
665,4.0
666,4.0
667,4.0
668,4.5
669,4.5
670,4.0
672,4.0
673,4.0
675,4.0
676,4.0
677,4.0
678,4.0
679,4.0
680,4.0
681,4.0
682,4.0
683,4.5
684,4.0
685,4.0
686,4.5
687,4.0
688,4.5
689,3.5
690,4.0
691,4.5
692,4.0
693,4.0
694,4.5
696,4.0
697,4.5
698,3.5
700,3.5
